"A.occurrences","B.occurrences","A.coverage","B.coverage"
5,0,61,78
1,0,80,83
7,0,91,75
0,1,75,94
0,1,99,76
1,0,81,85
0,2,79,85
0,1,85,84
1,0,71,84
0,1,88,102
3,2,71,100
0,21,89,88
1,0,82,66
0,6,81,67
0,6,87,97
0,1,87,82
42,56,82,89
0,1,94,70
40,44,91,78
3,0,85,68
1,0,80,71
1,2,83,73
5,0,87,68
2,0,67,93
0,1,87,79
43,46,80,91
2,0,87,93
2,0,80,80
1,0,79,85
1,0,90,102
0,1,86,98
1,0,91,80
49,38,87,74
0,4,85,89
2,0,80,92
5,0,64,80
0,1,82,87
1,0,70,87
6,0,92,96
0,2,86,77
0,3,82,72
0,2,94,87
1,0,87,81
1,0,90,89
35,43,75,81
16,36,84,74
2,1,77,70
7,0,97,78
1,0,64,87
1,0,82,98
1,0,83,66
1,0,91,82
2,0,87,76
1,0,87,89
0,1,87,75
1,0,80,90
0,1,76,97
0,2,75,102
0,15,68,90
44,33,85,75
38,42,71,79
1,0,92,88
12,29,78,60
12,36,70,86
3,0,84,87
1,0,80,84
0,1,72,77
0,1,92,87
0,2,83,78
0,1,82,77
0,1,92,76
1,1,83,75
2,0,99,76
0,1,88,84
0,1,88,78
0,2,68,89
1,0,105,98
1,0,82,98
0,2,76,98
1,0,82,74
3,0,91,81
2,0,73,87
0,1,89,72
0,2,72,80
2,0,74,72
1,0,82,78
1,0,75,71
1,0,90,90
0,1,86,84
2,0,105,90
1,0,72,78
1,3,74,68
0,1,68,83
3,0,80,76
1,0,77,99
0,2,81,96
0,1,72,97
16,35,78,78
6,0,101,86
35,43,64,72
0,1,84,79
4,0,90,76
2,0,78,81
1,0,76,89
2,0,73,77
1,0,77,104
2,0,96,96
43,36,82,72
1,0,85,93
0,1,79,91
0,1,77,72
0,16,77,84
1,0,109,81
1,0,80,85
11,41,70,91
1,0,78,91
1,0,89,65
1,0,96,90
45,32,79,76
1,0,89,70
0,16,92,94
1,0,75,74
4,0,75,75
0,1,95,86
33,51,74,90
0,20,76,77
0,1,79,82
1,0,88,90
17,2,76,79
1,0,87,81
0,1,81,91
0,3,71,78
0,2,88,93
0,1,81,107
1,0,70,75
1,0,76,100
2,0,90,73
2,0,95,86
0,1,83,79
0,1,86,79
2,0,85,84
3,0,89,78
1,0,84,87
1,0,65,84
1,0,81,66
3,0,84,79
3,0,84,89
4,0,82,85
4,0,93,84
1,0,92,84
1,0,89,69
0,1,72,80
0,2,76,63
1,0,80,84
0,5,66,92
0,1,99,89
1,0,75,77
0,2,82,71
9,0,91,82
20,3,85,93
1,0,96,91
1,0,77,78
37,35,77,82
1,0,81,97
46,37,80,71
1,0,84,91
0,13,83,80
0,6,100,76
1,0,94,90
1,0,88,86
31,32,76,80
1,0,71,66
1,0,83,99
1,0,93,88
0,2,98,99
0,1,92,81
1,0,90,97
0,1,95,79
38,35,85,80
1,0,76,92
36,34,78,77
1,0,83,91
2,0,68,90
2,0,85,93
9,0,84,75
0,1,79,89
0,1,81,88
48,48,90,92
2,3,90,73
1,0,76,90
10,0,91,90
0,1,79,82
5,0,85,93
7,0,80,93
0,23,84,82
3,0,94,80
0,1,71,87
1,0,88,96
3,27,77,88
0,3,72,93
1,0,87,91
0,15,66,71
3,0,76,79
0,1,66,75
0,2,101,73
1,0,95,97
5,4,81,88
47,43,89,85
2,0,85,97
0,1,75,79
1,0,82,85
1,0,83,101
1,0,75,79
1,0,92,92
1,0,86,81
0,1,74,71
11,0,97,79
2,0,105,78
2,0,89,91
1,0,81,78
1,0,86,88
15,36,81,89
1,0,99,70
2,0,78,73
0,1,85,63
0,27,79,83
1,0,89,78
2,0,74,77
32,44,75,76
0,1,85,87
0,1,79,101
2,0,63,75
0,1,81,86
0,2,72,85
0,1,79,86
0,1,79,94
1,0,85,76
1,0,98,78
2,0,80,87
1,0,90,70
0,1,64,87
1,0,71,92
4,0,68,67
4,0,81,70
0,1,76,82
3,0,70,71
0,1,69,66
1,0,86,87
0,1,83,90
1,0,91,78
0,1,71,85
1,0,91,79
2,0,70,63
0,1,80,98
0,1,93,72
2,0,83,78
3,0,73,109
0,2,81,76
0,1,77,88
0,19,74,80
1,0,82,80
0,1,97,86
2,0,96,80
1,0,86,79
1,0,82,100
0,1,81,80
0,10,79,86
1,0,78,84
0,1,74,74
0,1,86,89
1,0,76,68
4,0,64,81
3,0,87,73
3,0,79,89
0,1,99,87
1,0,91,69
1,0,83,101
5,0,70,79
0,1,91,84
1,0,92,67
3,0,79,92
1,0,84,87
0,1,76,65
2,0,79,87
1,0,87,89
0,1,84,88
1,0,93,97
0,1,82,96
0,1,79,68
1,0,87,88
7,1,84,82
0,1,81,83
0,2,85,95
1,0,72,80
1,0,92,85
1,0,70,80
0,1,97,86
0,2,78,84
0,1,75,97
1,0,73,91
1,0,83,90
0,1,79,86
7,0,74,85
1,0,96,91
1,0,76,72
1,0,69,74
0,1,88,78
0,2,80,82
1,0,87,85
1,0,68,85
0,2,70,82
3,0,87,109
1,0,83,102
0,4,76,87
0,1,80,78
0,1,98,83
0,1,100,86
41,39,93,83
2,0,81,66
3,0,104,73
1,0,83,91
2,6,86,93
48,46,94,95
0,3,101,91
1,0,98,92
1,0,82,90
1,0,94,87
1,0,81,85
42,42,81,88
0,2,80,80
1,0,69,77
1,0,84,104
44,39,87,76
1,0,81,97
0,2,73,86
0,2,75,90
0,1,77,73
0,1,76,87
1,2,88,95
0,1,75,93
0,1,84,102
4,0,106,79
2,0,81,74
0,7,98,72
1,0,89,91
6,0,92,84
2,0,85,90
0,1,73,90
8,51,83,84
1,0,100,101
1,0,103,81
41,42,84,81
1,0,84,88
0,2,84,87
1,0,83,89
8,1,89,82
6,0,86,84
0,1,81,83
0,13,91,94
0,1,83,78
2,0,84,96
0,2,83,78
2,0,67,68
1,0,68,74
0,1,91,100
1,0,86,87
0,1,91,92
3,0,78,94
0,1,99,81
0,4,79,89
0,2,88,79
0,7,78,73
3,0,71,92
1,0,77,95
0,1,94,95
4,0,78,89
0,1,91,102
0,5,88,86
0,1,81,96
0,1,82,82
2,0,84,82
1,0,84,92
51,40,107,73
1,0,91,83
1,0,77,87
0,2,88,102
4,0,79,91
42,49,75,95
1,0,76,78
0,1,62,73
0,1,86,83
35,37,72,76
3,0,97,75
40,49,73,95
44,44,98,89
1,0,79,92
0,29,82,80
43,44,87,81
1,0,98,84
1,0,102,66
1,0,82,93
1,0,74,79
0,1,92,72
14,32,85,71
1,0,85,80
1,0,91,84
1,0,80,95
2,0,99,70
0,1,80,84
0,4,76,78
4,0,88,103
2,0,99,81
3,0,73,91
0,5,110,92
1,0,76,96
4,0,91,95
4,0,95,87
0,1,80,94
1,0,79,71
2,0,70,71
10,50,105,102
33,37,66,82
0,1,86,66
1,0,83,98
0,11,80,102
0,2,73,70
1,0,75,96
43,38,83,74
1,0,88,84
0,2,90,70
1,0,82,93
0,11,79,83
1,0,79,81
0,1,83,60
0,1,83,75
0,2,82,79
1,0,64,91
0,1,65,91
0,1,83,83
1,0,82,88
0,5,94,79
0,2,94,78
1,0,71,90
41,41,91,95
0,1,104,95
45,40,89,63
1,0,89,88
1,0,76,85
1,0,73,97
0,7,74,89
1,0,81,88
4,0,77,87
0,1,91,77
0,1,87,80
2,0,77,69
0,6,78,80
0,1,93,87
5,0,74,97
2,0,80,92
0,1,83,74
0,9,77,93
5,0,100,75
2,0,68,82
1,0,81,91
0,1,80,81
1,0,71,78
36,34,82,76
2,0,68,87
1,0,62,80
35,42,68,83
0,1,78,85
1,0,69,79
2,0,83,89
41,37,88,92
0,1,79,71
1,0,85,78
0,1,83,63
1,0,87,89
0,1,90,100
2,0,81,92
1,0,81,90
0,1,76,89
49,50,82,105
0,1,74,73
3,0,95,82
5,0,79,82
0,11,92,83
0,2,85,80
1,0,72,75
0,1,75,75
0,1,94,74
0,1,69,95
1,0,79,84
0,1,85,95
1,0,88,70
5,0,78,78
0,1,79,79
1,0,70,92
44,51,97,94
2,0,89,66
3,0,88,83
14,4,74,68
3,0,79,81
0,1,92,90
3,0,76,71
1,0,85,80
1,0,79,86
16,45,78,78
40,37,78,80
1,0,81,88
3,0,97,76
0,1,83,78
7,0,95,78
0,1,101,93
5,0,85,106
0,2,100,82
1,0,74,74
1,0,75,83
0,1,83,86
3,0,93,91
1,0,97,100
40,34,79,78
0,3,102,90
56,44,103,89
0,1,89,60
34,44,71,93
1,0,78,80
1,0,87,69
3,0,94,66
2,0,100,82
0,13,78,69
1,0,84,71
48,44,87,77
2,0,75,79
43,45,80,86
1,0,88,74
37,36,83,84
3,0,88,98
0,1,79,75
0,14,80,83
2,0,80,71
1,0,91,70
1,0,79,88
3,2,75,68
2,0,91,66
1,0,88,94
1,0,86,93
1,0,89,79
3,0,97,85
0,2,84,91
0,7,89,82
1,0,80,89
2,0,87,94
0,4,76,85
1,0,87,93
39,45,90,77
0,1,87,75
0,1,77,77
8,33,84,70
5,0,83,88
4,0,78,82
43,51,79,82
1,0,81,76
1,0,81,74
4,27,90,80
0,3,88,91
0,2,80,79
1,0,85,84
1,0,78,83
3,0,79,80
2,0,102,91
2,0,81,65
1,0,89,85
0,2,84,82
1,0,67,84
1,0,68,74
0,28,88,97
1,0,90,85
1,0,91,84
8,0,90,83
0,1,79,103
1,0,82,81
1,0,79,64
0,1,93,71
0,1,87,82
0,13,72,82
1,0,81,78
1,0,85,86
1,0,95,84
1,0,94,64
0,25,86,73
1,0,95,88
0,1,87,86
1,0,80,84
0,2,77,74
1,0,75,73
4,0,88,80
0,32,89,86
0,2,80,84
2,0,84,96
1,0,76,74
0,5,70,86
1,0,100,74
1,0,101,90
15,38,70,85
1,0,74,85
1,0,88,86
0,1,82,76
0,20,86,85
1,32,71,101
1,0,69,68
2,0,80,67
1,0,93,80
2,0,84,91
1,0,89,85
0,2,80,82
4,0,91,66
1,0,86,79
1,0,84,82
0,4,81,97
0,1,86,75
4,0,68,95
0,1,90,94
1,0,82,88
0,1,77,74
1,0,69,86
0,2,93,67
2,0,80,92
1,0,96,78
0,2,76,82
2,0,76,84
1,0,87,83
3,0,85,78
2,0,92,74
0,1,76,79
7,0,97,89
2,0,95,71
36,42,73,94
1,0,84,78
1,0,84,91
0,18,77,74
1,1,76,80
1,0,91,82
2,0,83,79
46,42,98,85
1,0,103,76
0,1,81,56
1,0,88,80
2,0,87,83
1,0,98,73
43,54,85,101
0,1,86,85
2,0,98,82
0,1,67,77
1,0,84,88
2,0,79,82
2,0,79,86
1,0,97,72
1,0,74,87
32,41,75,82
0,2,93,69
2,0,102,82
13,36,82,79
1,0,85,76
39,33,85,75
9,0,75,84
2,0,78,91
2,0,83,84
1,0,76,93
0,1,103,95
1,0,72,101
2,0,88,88
0,1,67,65
0,2,90,83
1,0,80,68
0,1,87,83
0,1,80,89
44,38,90,81
2,0,82,67
0,25,83,104
1,0,86,103
0,1,89,71
0,1,75,84
43,34,92,74
1,0,81,82
3,0,81,98
0,1,97,86
33,52,70,94
0,23,97,81
1,0,100,85
0,1,97,93
1,0,74,95
4,0,78,79
0,1,63,79
1,0,85,83
2,0,76,72
1,0,80,97
34,40,80,77
0,1,83,87
1,0,77,77
2,0,84,89
0,1,90,93
1,0,83,86
1,0,80,79
0,1,87,79
1,0,79,76
2,0,88,69
0,1,78,80
1,0,81,81
5,15,72,83
37,31,72,68
1,0,74,95
24,5,84,82
12,40,94,81
5,0,78,71
1,0,90,79
1,0,78,76
0,3,99,81
20,43,83,84
1,0,93,69
1,0,83,72
3,2,78,93
1,0,73,82
0,1,97,88
2,0,87,87
28,44,70,73
1,0,81,79
0,1,67,84
0,1,77,92
1,0,101,94
1,0,76,78
1,0,87,89
0,2,91,88
1,0,77,95
1,0,101,83
36,39,65,76
0,1,90,75
1,0,82,78
3,0,84,72
6,0,83,79
45,31,93,72
39,39,80,77
1,0,76,83
0,1,77,89
0,1,64,83
0,29,64,83
1,0,79,85
0,2,80,91
3,0,76,88
0,2,77,91
2,0,69,100
0,1,77,87
0,26,84,89
0,1,82,69
3,2,79,88
0,1,88,77
3,0,111,67
0,6,87,78
4,0,81,81
0,30,64,90
1,0,88,83
1,0,80,86
1,1,70,73
1,0,83,92
0,1,82,90
1,0,98,72
44,38,85,80
0,1,87,77
0,28,103,94
2,0,79,92
1,0,80,107
12,25,75,83
0,1,91,89
3,0,77,86
0,8,75,75
3,0,86,75
1,0,83,84
4,0,74,81
1,0,74,94
0,1,83,87
0,2,71,77
0,5,77,80
1,0,86,84
0,5,95,101
0,1,89,89
1,0,91,80
1,0,100,79
1,0,75,84
0,1,81,96
40,35,77,75
2,0,71,85
6,0,97,75
1,0,91,72
0,2,84,69
2,0,70,60
0,1,95,74
1,0,79,88
2,0,65,73
1,0,84,89
3,0,64,90
4,0,73,78
1,0,66,84
0,3,66,87
1,0,85,82
1,0,69,106
5,5,81,83
37,49,90,90
5,41,89,84
45,38,103,74
1,0,94,74
2,0,83,93
5,0,75,82
1,0,83,85
0,1,87,94
3,0,96,95
3,0,99,96
3,0,82,80
45,49,76,87
1,0,79,89
3,0,82,81
0,1,96,88
1,0,80,86
1,0,80,79
1,0,92,89
0,1,90,70
31,40,64,76
1,0,74,79
1,0,90,89
1,0,72,83
0,1,100,78
1,0,85,82
0,1,53,89
1,0,78,77
1,0,84,81
41,44,81,88
14,1,90,88
23,1,83,74
18,42,78,75
1,0,80,91
0,2,72,75
1,0,95,86
3,0,95,77
1,0,80,88
1,0,83,80
0,1,88,82
2,0,75,79
0,18,76,87
58,45,99,86
1,0,95,79
0,1,82,77
1,0,65,81
21,37,90,84
0,1,91,88
1,0,95,90
0,1,78,80
0,1,93,80
1,0,83,78
50,46,95,91
41,40,71,77
3,0,90,70
3,0,90,99
1,0,82,79
0,13,83,76
5,0,83,90
44,48,86,89
1,0,103,93
0,1,90,102
2,0,85,87
2,0,84,65
2,0,99,91
0,2,76,88
3,0,84,72
2,0,106,94
0,1,97,81
1,0,84,70
0,1,86,82
0,1,60,81
0,1,110,86
1,0,73,91
1,0,86,90
1,0,86,82
1,0,79,84
2,0,85,71
0,2,100,68
1,0,81,68
1,0,92,78
0,26,84,81
0,3,76,75
0,1,68,82
3,0,83,79
36,47,83,94
2,0,86,84
0,1,92,89
1,0,111,98
1,0,97,84
1,0,88,64
1,0,73,78
1,0,84,99
0,1,100,75
3,0,99,79
38,43,88,97
1,0,70,94
0,2,83,91
0,1,82,84
0,19,73,81
1,0,88,82
2,0,90,68
2,0,76,99
52,45,97,86
4,0,78,72
0,1,83,78
3,3,82,80
2,0,89,82
0,1,71,88
1,0,77,80
3,0,85,76
2,0,79,84
0,1,77,78
1,0,82,85
0,1,77,82
0,2,78,88
1,0,70,65
1,0,87,85
0,1,74,82
1,0,89,59
0,1,85,72
2,0,93,87
1,0,92,78
1,0,94,99
0,1,75,84
1,0,86,90
4,0,81,85
1,0,99,89
0,16,75,79
40,41,106,85
1,0,103,75
2,0,69,92
1,0,81,74
0,1,75,96
0,8,79,80
1,0,97,83
1,0,71,84
1,0,98,83
1,0,84,86
44,30,79,68
1,0,99,80
1,0,69,64
0,1,99,91
0,1,102,81
40,43,76,71
2,0,89,106
3,2,89,86
0,1,88,86
1,0,76,96
1,0,78,89
8,0,82,80
2,0,85,101
2,0,92,86
1,0,88,98
2,0,92,91
3,0,81,71
10,0,90,75
6,0,86,77
53,33,117,77
0,3,94,80
0,1,80,95
0,1,82,76
2,0,76,67
1,0,75,89
1,0,90,76
1,0,86,80
1,0,94,93
1,0,88,84
0,2,90,79
0,1,76,80
2,0,81,84
1,1,75,99
1,0,84,92
2,0,84,77
0,2,96,86
1,0,90,77
3,0,88,110
1,0,97,84
0,1,76,72
0,2,77,86
0,1,67,92
0,31,81,94
2,0,92,88
2,0,61,81
0,5,94,86
1,0,79,84
17,2,100,73
5,0,95,79
1,0,73,85
1,0,88,82
2,0,93,75
0,1,76,77
1,0,84,89
1,0,78,95
0,1,90,76
37,46,76,82
3,0,80,88
0,1,91,75
0,26,78,85
1,0,81,76
0,3,89,89
1,0,88,85
0,26,89,80
40,41,92,75
2,0,89,91
52,50,103,75
0,3,87,81
8,0,103,66
2,0,85,80
1,0,104,85
0,2,84,76
0,1,88,85
0,1,93,79
0,1,80,89
0,1,76,76
1,0,70,79
36,45,82,86
1,0,79,82
0,1,97,104
1,0,84,78
1,0,85,66
48,44,85,81
0,1,93,94
39,36,86,78
0,30,68,93
0,1,74,77
1,0,82,81
0,3,82,106
2,0,77,78
1,0,65,94
0,1,93,95
0,1,89,101
1,0,84,73
9,33,69,84
1,0,83,97
0,2,83,83
1,0,73,90
1,0,77,93
0,1,91,81
4,0,77,87
0,1,90,99
3,0,103,92
1,0,77,93
1,0,89,78
0,2,85,77
1,0,82,91
0,17,74,89
0,1,85,79
0,1,87,76
5,0,91,80
0,6,78,80
15,36,67,80
40,42,78,88
0,2,77,94
10,1,71,82
1,0,76,68
2,0,78,84
50,34,76,67
1,0,82,89
0,1,95,85
1,0,92,85
0,11,93,59
0,1,96,81
2,0,82,86
1,0,84,90
1,0,85,97
0,2,100,75
2,0,66,76
1,0,85,80
1,0,83,92
0,1,84,79
0,28,78,84
1,0,79,81
0,1,86,80
1,0,78,74
2,0,93,78
0,21,69,77
1,0,75,78
6,0,78,70
1,0,77,95
0,2,76,78
0,1,77,77
4,2,74,88
1,0,76,85
1,0,86,91
4,0,78,90
1,0,87,94
0,1,71,73
1,0,80,81
35,40,70,82
4,0,106,88
1,0,91,96
1,0,68,83
1,0,89,86
1,0,76,85
2,0,83,103
38,39,76,89
0,6,67,78
4,0,99,84
0,1,66,89
3,0,84,75
1,0,77,81
0,2,82,76
0,1,81,82
11,2,88,98
1,0,92,82
0,2,78,79
1,0,79,76
1,0,83,75
0,2,75,102
0,1,99,68
44,45,87,80
0,1,108,112
0,1,70,77
3,0,83,98
0,27,90,90
0,20,65,88
1,0,100,76
4,0,72,68
7,0,80,79
1,0,88,92
0,1,82,88
1,0,90,76
0,1,67,101
1,0,86,88
7,3,59,83
0,1,60,95
0,2,76,84
1,0,83,69
0,1,95,79
2,0,88,99
4,0,69,83
1,0,84,76
5,0,90,91
1,0,77,88
3,0,73,89
0,1,81,80
46,36,89,79
0,1,80,82
2,0,82,76
2,0,88,87
0,1,83,70
1,0,85,84
1,0,82,97
1,0,76,83
0,1,92,85
0,1,100,84
0,26,87,75
0,2,68,79
1,0,90,79
0,1,82,97
1,0,80,72
0,15,87,72
2,0,89,84
2,0,93,85
1,0,77,92
1,0,96,84
0,1,80,85
0,1,95,61
0,1,86,90
17,3,91,76
1,0,79,87
1,2,71,86
37,47,73,91
2,0,73,77
59,48,101,83
1,0,82,93
0,1,80,76
1,0,71,78
4,0,99,76
3,0,82,79
1,0,68,89
47,44,90,76
2,0,64,67
0,1,71,83
0,1,78,93
1,0,74,88
1,0,84,78
2,0,80,77
0,20,91,81
9,46,68,96
1,0,73,83
0,2,77,79
37,48,76,91
40,52,67,102
1,0,74,92
3,0,88,76
1,0,87,86
2,0,82,96
0,1,93,85
2,0,90,83
2,0,92,82
2,0,63,88
1,0,92,82
1,0,93,105
1,0,64,91
0,1,72,87
1,0,84,62
1,0,91,72
0,1,85,96
1,0,88,76
0,2,106,84
34,43,75,95
1,0,89,85
1,0,73,83
6,2,91,106
1,0,87,70
0,3,78,98
1,0,113,84
0,28,80,83
0,1,83,75
0,6,96,97
1,0,90,77
1,0,94,82
2,0,89,103
0,1,80,68
0,2,86,92
12,0,96,92
6,0,97,81
3,0,95,66
3,0,96,86
0,2,84,72
3,0,87,93
1,0,91,80
0,1,84,82
1,0,66,81
16,43,89,102
5,0,72,67
3,0,90,73
0,1,90,86
3,0,85,87
0,1,73,62
1,0,86,74
0,1,79,86
0,2,98,99
2,0,94,71
45,38,85,80
56,41,107,93
6,35,78,68
0,2,82,81
45,57,83,103
1,0,87,88
1,0,73,74
1,0,96,78
32,43,70,78
1,0,99,79
12,0,88,94
4,0,79,98
41,44,86,78
1,0,86,71
1,0,83,84
0,1,80,99
1,0,93,71
1,0,68,68
0,1,93,90
0,1,74,85
5,0,91,77
1,0,83,84
1,0,62,92
0,2,73,87
51,40,86,85
0,2,82,99
0,3,72,65
2,1,93,102
0,1,89,83
0,1,90,69
20,1,86,72
1,0,103,89
0,2,77,104
1,0,81,87
1,0,75,95
0,3,82,92
1,0,72,68
1,0,78,85
0,1,87,82
0,1,91,83
31,43,76,87
1,0,80,63
38,45,75,78
0,3,85,77
1,0,79,82
0,2,86,73
1,0,87,91
0,13,94,79
0,2,75,90
0,1,81,91
1,0,78,88
1,0,85,75
0,1,100,69
6,0,72,83
4,0,82,99
0,1,78,89
1,0,87,80
1,0,73,82
33,37,72,73
2,0,79,92
40,48,77,84
1,0,81,65
51,36,89,77
1,0,81,91
0,1,73,80
1,0,101,77
1,0,75,71
1,0,78,68
0,7,96,85
0,1,74,73
5,0,81,80
0,1,77,87
0,1,96,80
51,37,109,70
0,1,76,85
1,0,83,71
0,4,86,76
0,1,90,102
0,1,79,83
1,0,73,104
0,1,86,78
1,0,74,89
3,0,90,106
1,0,90,84
1,0,71,62
37,39,89,81
1,0,79,82
1,0,71,79
0,1,100,92
1,0,82,79
1,0,86,81
0,3,74,81
1,0,85,81
0,1,77,79
0,1,78,80
1,0,87,68
0,2,81,96
49,46,90,91
0,1,88,90
0,1,81,76
0,6,72,76
1,0,95,86
1,0,76,65
0,1,80,81
1,0,92,89
0,1,92,79
3,0,100,80
0,1,88,71
0,1,74,95
1,0,83,78
0,1,80,79
3,0,97,80
1,0,76,71
6,0,88,79
0,2,86,86
1,0,92,84
1,0,83,91
1,0,79,96
0,1,81,78
1,0,88,77
0,1,85,85
1,0,89,82
1,0,69,65
1,0,83,91
0,1,86,82
0,3,78,75
0,8,85,75
0,2,80,83
0,27,103,101
0,1,89,92
0,1,79,88
1,0,87,77
4,0,80,89
0,3,75,98
0,1,89,88
11,37,82,66
1,0,77,90
0,12,89,69
0,2,68,84
1,0,99,77
1,0,75,85
42,30,79,75
3,31,85,107
1,0,72,72
2,0,79,82
2,0,86,77
0,1,73,80
3,0,75,85
0,1,65,95
3,0,99,83
2,0,88,82
1,0,83,82
1,0,84,70
2,0,87,94
0,1,77,88
2,0,80,86
1,0,85,87
1,0,92,59
1,1,96,80
1,0,78,87
0,29,86,84
1,0,79,88
1,0,96,73
0,1,80,79
1,0,88,80
2,0,94,75
1,0,76,82
11,11,83,84
1,0,109,74
0,1,78,79
0,3,87,100
3,3,83,79
0,1,70,78
1,0,80,73
18,44,68,87
36,41,71,81
1,0,80,93
1,0,88,83
3,0,60,86
33,39,67,81
0,1,98,87
1,0,90,91
4,0,73,96
0,1,69,96
2,0,87,71
1,0,77,93
0,1,84,83
1,0,73,86
3,2,84,84
9,0,82,80
1,0,80,93
51,43,94,85
42,42,88,77
0,1,85,102
1,0,68,78
50,46,84,84
1,0,81,67
2,0,74,76
0,24,87,86
0,1,97,73
1,0,74,91
2,0,84,85
0,1,82,78
0,1,64,87
1,0,71,87
4,2,71,104
0,2,98,82
13,0,83,76
0,6,100,78
0,5,88,87
0,3,83,91
1,0,69,84
0,1,75,87
0,1,109,91
0,2,100,87
0,2,106,77
2,0,76,63
47,34,80,74
1,0,79,87
0,2,87,83
1,0,81,83
50,45,95,96
3,0,78,81
2,0,105,89
1,0,95,67
23,3,80,88
0,1,97,75
0,2,90,82
1,0,90,75
4,0,76,78
0,2,95,73
0,1,69,81
40,47,84,96
0,1,96,84
3,0,81,85
1,0,91,79
3,0,81,87
1,0,85,76
1,0,86,65
9,0,87,85
0,2,60,91
1,0,105,104
4,0,67,83
2,0,85,93
2,0,88,72
0,2,89,99
0,1,83,71
10,0,80,72
0,6,74,86
0,1,81,76
0,3,66,95
1,0,62,79
9,0,86,78
0,1,68,85
0,2,93,84
0,1,74,70
1,0,95,77
0,2,80,77
1,0,89,69
1,0,82,85
0,3,80,79
1,0,97,91
0,1,75,80
2,0,93,100
38,49,85,89
1,0,78,57
0,2,82,82
2,0,84,80
1,0,93,85
0,1,88,67
1,0,79,79
8,0,69,75
56,40,91,72
48,38,107,80
1,0,89,90
2,0,100,64
3,20,97,74
2,0,99,76
6,0,86,80
2,4,80,95
1,0,102,72
1,0,88,83
0,2,88,87
1,0,77,94
2,2,96,84
0,1,73,85
38,43,84,80
1,0,85,79
0,1,77,89
10,0,101,92
1,0,85,88
0,1,76,78
1,0,80,88
3,0,95,82
1,0,88,73
1,0,90,77
1,0,74,86
1,0,73,78
1,1,95,85
1,0,85,77
2,0,82,98
1,0,70,88
39,46,84,76
38,45,77,74
1,0,85,83
0,25,84,87
0,1,92,82
2,22,98,78
0,1,83,74
0,1,78,79
1,0,77,71
1,0,70,75
1,0,110,91
1,0,73,77
0,4,80,75
1,0,92,90
1,0,75,81
4,0,90,80
0,1,88,75
0,1,76,74
1,0,90,92
16,48,77,98
1,0,90,92
33,31,74,65
2,0,84,70
2,0,88,82
1,0,100,90
0,2,80,79
45,38,83,78
8,0,76,81
2,0,67,101
1,0,84,83
1,0,76,85
1,0,77,66
0,2,74,97
1,0,95,62
0,2,82,84
43,39,92,78
1,0,98,76
7,0,102,81
1,0,76,89
0,8,72,91
1,0,101,97
0,1,91,69
7,2,85,81
1,0,84,85
34,41,68,93
0,2,70,80
1,0,94,71
1,0,88,91
0,1,77,82
0,1,91,79
0,4,80,70
0,2,75,70
3,0,89,77
43,48,83,97
0,1,85,87
0,1,82,73
1,0,86,91
0,3,88,86
1,0,90,77
0,18,90,88
16,41,83,83
1,0,88,89
0,1,78,78
2,0,85,80
0,1,91,83
0,26,91,99
3,0,73,87
1,0,83,84
1,0,70,85
0,2,84,84
