"S1","S2"
69,96
74,80
69,80
90,86
80,75
78,82
85,83
77,72
82,90
74,89
92,88
79,83
73,64
88,83
92,93
79,83
90,83
66,80
80,89
98,91
71,84
88,78
80,82
79,85
67,89
78,75
84,64
83,70
62,80
86,71
69,65
77,74
79,81
87,92
71,91
90,85
76,77
72,96
63,87
87,89
70,82
85,82
72,84
68,78
70,90
90,68
80,66
83,81
79,67
84,75
70,73
75,68
86,85
79,83
91,85
83,81
77,79
86,80
71,99
93,76
87,74
89,77
71,89
95,81
100,78
77,85
86,67
88,86
85,93
88,79
89,83
88,76
92,61
69,77
81,86
86,84
80,88
90,105
84,75
68,75
81,69
76,83
79,60
79,81
66,79
83,78
94,74
86,84
80,79
90,57
86,77
87,80
63,71
82,63
65,76
95,95
90,81
89,88
77,78
74,85
87,88
89,80
82,79
78,95
67,82
93,86
89,78
80,74
88,91
93,83
100,69
68,77
89,90
82,90
97,91
90,88
83,96
77,82
90,82
73,84
78,80
70,88
90,81
82,76
66,83
83,74
84,79
62,87
82,75
81,77
90,78
78,63
87,73
74,78
84,98
89,58
79,80
88,80
65,87
79,82
70,75
88,86
83,73
80,75
84,83
81,87
80,69
89,91
83,87
103,80
93,82
91,75
74,82
85,73
66,74
84,91
69,78
98,99
83,74
86,85
88,84
85,79
93,81
73,69
79,72
86,81
84,77
98,84
97,81
93,73
69,71
81,82
62,79
72,75
71,84
80,70
84,77
89,55
71,93
79,78
86,92
70,83
87,80
86,73
92,81
84,65
77,86
84,73
74,74
84,70
78,68
82,80
79,87
78,74
70,79
70,82
73,80
86,62
79,87
86,81
80,61
71,70
77,78
86,74
68,90
91,66
76,68
87,81
80,79
75,86
77,83
83,69
80,74
77,74
66,84
74,74
72,90
77,76
80,82
71,84
89,79
66,78
91,82
80,76
78,82
82,88
79,88
75,77
93,78
96,80
75,67
79,92
85,87
88,74
85,67
78,75
78,78
77,78
79,85
81,101
74,70
70,80
68,62
67,77
86,68
82,71
90,85
72,73
66,75
81,87
79,73
83,72
73,91
66,65
76,77
88,77
81,90
70,79
79,80
85,108
66,70
83,57
84,65
78,83
84,74
72,85
94,74
66,90
92,83
73,81
72,74
79,93
84,89
72,72
78,89
77,78
70,88
94,77
77,78
75,74
68,94
78,82
89,79
93,86
88,63
87,76
78,66
72,66
98,78
83,88
87,75
69,74
67,80
93,82
89,81
70,64
73,101
76,83
84,81
71,87
91,86
67,80
80,73
80,77
65,66
93,92
87,74
71,90
75,78
80,75
88,77
70,78
66,88
73,81
69,71
74,80
83,105
74,83
81,71
81,85
62,89
93,87
87,81
82,78
75,89
60,77
77,84
73,78
84,78
90,85
93,78
69,82
78,77
76,82
79,76
76,93
92,60
82,92
82,78
96,92
85,82
86,92
85,76
76,108
73,107
74,80
85,94
84,85
77,91
74,102
82,85
74,96
82,68
79,79
83,82
83,74
77,90
75,88
90,82
62,87
78,74
81,79
66,87
68,75
93,72
66,77
58,95
92,71
82,75
77,81
85,67
76,70
69,75
77,97
74,86
73,83
95,58
81,90
72,71
74,84
93,82
79,71
86,80
63,65
66,69
83,65
72,88
75,84
91,72
84,87
102,81
94,80
80,88
87,87
81,63
84,79
85,77
90,93
65,75
81,83
82,79
90,91
81,80
71,79
73,85
63,74
68,84
71,83
76,88
70,74
61,83
71,99
71,76
72,84
98,83
103,77
80,59
82,77
82,79
77,84
86,74
64,81
82,74
62,73
72,73
101,84
100,84
53,88
76,60
68,78
75,94
72,77
86,77
85,69
89,77
82,79
76,90
89,84
84,76
68,88
68,81
69,82
92,86
84,78
74,94
86,70
85,64
77,79
87,80
78,66
92,84
76,58
80,84
85,78
73,97
76,82
85,74
76,63
67,92
59,85
94,68
71,78
64,90
91,85
91,91
60,70
76,80
70,71
67,71
64,96
77,96
87,74
83,64
71,72
66,84
80,67
93,91
81,71
85,70
84,90
87,73
81,91
78,79
81,81
64,87
90,63
83,89
73,66
83,77
62,97
77,75
80,88
74,67
95,87
99,81
76,81
75,91
85,79
72,83
78,93
67,84
76,81
82,87
81,77
75,78
91,79
86,76
89,76
77,79
77,87
80,73
75,87
90,66
98,86
74,77
81,90
81,91
74,87
63,60
73,83
81,68
80,89
63,82
80,79
100,67
63,65
82,77
89,73
77,73
98,84
74,68
89,75
84,91
89,92
80,70
74,74
79,69
72,78
92,78
76,74
73,85
81,73
92,78
92,73
67,77
96,78
84,64
83,84
76,97
77,71
80,82
75,77
79,78
82,75
81,75
95,93
90,84
100,76
93,82
81,79
61,86
74,87
74,64
79,70
76,87
85,67
73,84
72,62
78,81
81,81
79,67
66,82
72,78
93,80
88,73
78,84
82,76
78,95
63,85
86,76
81,75
94,81
77,84
72,73
77,85
91,76
83,76
88,81
90,79
99,79
81,72
80,81
72,90
77,93
88,75
65,72
83,83
87,70
93,78
75,78
89,76
79,88
90,79
85,68
73,70
82,76
69,76
92,90
84,77
73,84
84,71
89,85
67,97
74,72
70,79
74,88
93,90
92,75
90,74
91,81
70,70
85,85
77,98
78,71
80,82
79,86
77,71
83,78
82,74
76,83
77,81
61,79
68,81
68,81
84,78
100,78
79,74
76,95
71,68
84,81
72,72
80,72
79,90
85,85
85,89
79,89
79,75
93,77
72,95
68,69
62,91
74,79
87,62
99,78
92,88
85,84
89,85
82,79
79,87
81,85
74,89
72,74
98,81
98,78
92,93
85,72
67,78
83,86
90,90
84,74
80,87
85,80
76,85
79,80
92,79
87,80
85,73
78,76
64,70
75,76
107,82
85,67
78,90
55,92
78,77
87,84
77,88
90,75
99,89
79,72
97,104
79,67
66,93
82,93
84,82
78,80
69,89
77,69
87,78
75,80
91,83
85,83
80,97
89,91
91,76
76,91
75,84
83,61
63,88
91,78
70,71
73,84
82,76
90,91
90,82
80,70
90,99
83,75
81,73
76,80
73,82
85,85
87,70
79,93
82,81
73,76
90,65
76,92
66,79
69,74
81,82
92,69
82,83
77,78
81,86
98,74
85,86
81,84
81,76
84,78
71,89
71,80
73,88
82,99
81,77
79,82
78,78
74,74
83,80
82,75
82,79
61,86
82,61
89,77
75,98
94,77
98,73
71,78
86,82
71,69
75,92
81,88
84,76
77,98
86,74
67,82
87,102
80,85
64,74
82,81
87,88
78,71
74,81
72,81
93,80
81,92
94,73
84,87
77,90
83,91
76,84
80,86
79,74
87,73
73,86
85,68
84,80
93,65
70,81
72,96
83,84
87,85
80,73
82,74
72,97
73,64
79,81
64,97
84,87
94,80
77,84
75,90
93,70
75,91
87,91
104,92
92,81
82,90
87,79
76,75
80,65
82,90
83,65
91,80
86,72
89,67
99,80
83,78
76,77
88,73
88,90
80,94
73,99
73,75
89,76
73,83
84,67
91,71
79,82
82,67
87,76
80,68
80,84
84,67
81,87
78,80
75,72
94,69
90,80
100,67
76,86
78,77
80,77
90,81
81,71
85,88
85,88
80,79
79,85
78,91
91,74
72,63
64,91
75,70
69,75
75,68
75,73
82,86
90,88
103,77
83,100
78,84
84,73
75,86
92,82
82,80
93,84
79,78
66,86
62,86
74,94
81,76
76,69
87,67
72,88
91,81
75,70
76,63
78,89
79,86
69,72
86,77
60,98
61,82
75,84
70,89
84,84
96,72
95,86
78,88
85,95
88,79
84,68
79,74
84,65
94,99
79,68
87,101
63,64
65,74
90,93
88,85
81,77
70,90
71,88
86,82
81,86
79,103
93,85
80,80
71,74
90,73
87,74
75,85
73,90
95,79
64,83
66,78
78,66
54,93
83,75
74,69
73,63
87,92
71,85
93,67
83,75
76,76
92,70
73,101
71,77
77,88
92,79
79,82
78,76
81,77
68,76
72,85
83,71
79,70
64,80
79,87
91,79
67,72
90,82
82,76
85,70
72,88
75,70
71,104
65,73
88,90
85,84
65,83
66,79
80,81
79,72
83,83
71,74
90,85
80,60
78,82
74,72
84,83
85,79
96,88
81,80
78,87
86,85
84,85
79,86
81,72
77,73
85,91
85,93
78,72
99,71
80,84
75,67
91,69
89,81
91,63
65,81
88,78
89,80
78,72
86,91
97,68
77,95
84,87
76,83
90,81
77,64
75,76
86,85
79,62
85,82
97,86
65,72
79,77
91,85
79,81
83,94
77,83
79,78
95,89
85,98
85,69
97,61
80,70
84,71
90,78
90,73
76,91
77,85
95,99
84,83
73,76
82,74
70,78
67,77
86,71
81,81
77,94
76,76
81,79
88,71
88,84
98,77
69,91
90,74
83,80
88,91
89,77
96,86
81,100
61,88
82,91
65,72
80,83
78,65
90,80
94,80
70,88
80,70
86,73
77,77
75,89
75,89
88,77
98,92
79,84
75,99
75,98
67,84
83,96
66,86
66,73
91,70
91,84
84,72
74,85
86,75
88,75
60,97
71,86
74,78
94,79
87,74
73,72
77,72
75,65
90,66
71,70
71,70
86,99
75,72
92,80
76,79
77,86
91,79
74,95
82,79
74,88
75,94
76,82
87,92
92,91
74,92
92,78
93,79
87,70
85,70
82,77
86,68
65,82
75,91
81,76
70,84
88,91
86,75
83,80
72,64
81,94
73,71
79,82
77,82
69,80
85,94
94,74
84,87
87,67
75,72
81,87
75,75
84,79
77,87
77,69
78,73
80,73
79,88
74,79
78,76
80,79
82,77
73,82
67,82
75,82
79,71
82,67
73,76
91,89
86,73
81,88
77,76
77,68
75,110
75,80
83,90
93,71
70,81
83,67
89,69
67,77
63,69
92,83
66,81
80,83
79,70
85,82
76,88
78,81
62,65
77,73
74,61
74,74
90,84
77,69
84,91
78,79
87,81
82,80
69,88
92,79
71,88
72,76
67,81
67,77
75,67
79,82
86,67
84,76
72,78
86,81
77,79
77,77
80,76
81,71
79,84
71,80
77,92
90,91
83,71
80,68
72,98
74,81
67,77
83,72
84,88
75,70
82,73
61,91
81,73
94,74
85,89
80,81
88,76
82,67
73,84
76,81
71,85
86,87
78,84
72,67
87,82
84,81
88,86
86,95
85,87
94,88
81,73
78,75
84,81
96,78
77,91
74,64
81,88
100,71
72,73
68,88
76,84
83,86
72,103
86,95
73,83
72,83
65,88
97,77
90,81
83,73
73,84
76,66
66,88
82,77
85,77
74,86
78,80
74,77
74,89
83,80
77,87
91,86
79,83
76,91
63,88
74,72
91,71
81,80
76,79
88,89
84,110
91,87
78,60
67,94
92,85
76,70
82,67
94,78
91,72
73,97
85,97
91,79
78,80
75,84
87,75
66,93
72,83
93,77
76,91
83,75
73,79
79,77
72,73
85,95
76,84
76,86
76,83
81,78
86,74
80,83
84,74
86,81
82,92
75,66
90,70
84,99
63,83
69,71
89,85
94,83
85,83
91,79
99,75
71,66
84,80
74,78
107,65
90,91
76,81
104,68
67,92
89,74
89,73
83,82
78,70
101,96
86,83
86,86
85,74
84,98
81,90
85,85
95,95
80,84
85,71
66,80
77,84
93,80
75,88
62,71
82,89
89,84
97,80
74,83
70,83
83,70
83,81
62,79
90,106
75,74
80,85
81,85
74,79
65,77
74,85
71,81
97,87
80,102
80,87
82,73
81,88
70,75
89,74
79,95
79,83
96,76
69,68
86,63
83,78
80,80
87,73
69,75
68,65
84,78
73,79
83,79
91,93
98,76
85,78
81,65
83,74
85,66
99,83
76,79
89,78
86,94
66,93
56,89
93,66
79,70
77,70
78,88
79,62
65,98
86,77
90,82
82,84
77,81
76,60
75,73
94,90
66,65
91,80
87,71
74,76
74,72
98,92
86,90
81,77
78,68
51,80
78,85
74,95
83,76
62,94
76,95
79,95
88,76
76,83
81,80
89,80
90,99
84,76
77,108
85,71
84,101
74,85
69,68
85,81
81,73
76,73
83,76
72,79
79,66
81,78
77,72
90,89
95,74
64,78
81,86
77,97
98,75
81,79
83,73
85,72
66,79
79,74
80,97
76,93
76,90
94,80
80,83
70,98
86,85
74,67
77,86
70,83
93,69
76,77
85,75
88,72
90,85
73,83
84,84
67,73
85,77
83,69
85,80
97,87
93,78
86,83
86,87
82,90
72,91
79,80
67,65
72,74
81,86
78,68
89,83
78,60
73,100
78,83
77,75
75,87
70,86
93,81
73,65
96,92
78,81
74,85
80,72
71,83
74,76
86,78
73,76
87,69
69,81
86,87
82,80
77,75
85,95
81,80
80,70
81,86
68,97
103,94
79,80
82,88
75,82
93,79
79,91
76,85
97,82
77,79
74,75
78,86
67,81
89,94
86,85
84,84
74,89
69,82
88,80
99,70
85,81
87,82
72,86
85,79
92,66
75,87
75,85
78,80
90,77
79,88
77,95
80,67
94,73
79,90
88,91
93,82
89,75
81,93
87,80
86,89
81,73
87,78
87,80
86,81
76,90
78,67
72,80
74,69
82,76
98,73
86,82
76,82
90,77
78,74
79,88
84,74
71,81
75,79
85,68
80,80
76,81
76,77
83,84
82,89
79,85
89,69
81,80
71,76
85,77
74,75
90,91
80,77
80,102
60,88
70,64
86,76
67,71
69,93
69,79
95,74
80,82
77,61
78,69
98,68
89,72
76,89
67,90
86,82
83,80
73,79
72,79
76,69
83,63
77,85
81,66
79,73
88,91
67,70
83,89
67,80
79,97
80,80
89,95
80,80
61,76
75,71
73,70
69,78
81,95
76,94
81,71
80,71
84,62
83,76
57,76
67,79
93,74
79,89
84,90
84,65
80,85
92,97
98,88
72,85
77,82
87,96
91,84
82,68
77,88
80,77
68,86
84,86
77,82
70,79
68,80
68,81
78,64
68,62
72,67
83,93
96,89
61,78
71,95
77,80
94,90
68,78
90,87
87,62
75,93
81,91
78,90
79,89
92,77
83,85
76,81
76,93
81,84
74,90
73,78
76,67
86,86
93,82
82,92
81,66
86,83
76,85
68,69
91,77
72,77
69,80
76,82
91,87
84,78
78,84
82,85
77,90
81,71
90,77
87,81
92,62
79,94
74,80
80,77
95,76
71,97
103,88
76,100
86,77
92,102
92,72
75,93
84,84
83,81
76,90
74,70
83,79
85,99
82,71
86,99
78,82
77,83
79,89
72,77
85,91
84,77
84,81
89,79
87,73
50,77
80,87
70,78
68,94
78,88
82,101
85,68
83,71
84,83
84,88
79,90
71,93
90,89
90,79
78,81
82,81
85,83
99,84
84,84
76,65
79,98
90,94
100,83
78,92
80,93
86,80
79,83
69,87
86,79
67,87
77,87
85,80
70,80
83,75
71,78
92,88
77,86
74,80
87,84
72,60
96,77
93,74
86,71
74,79
78,81
71,63
89,71
74,87
81,71
78,78
99,92
72,69
76,83
69,80
60,103
72,75
75,88
72,73
79,68
68,77
76,66
68,57
75,64
81,79
76,71
68,71
88,85
84,80
81,83
92,78
82,83
72,103
85,67
69,86
70,75
95,77
74,66
77,64
82,71
85,92
62,95
79,95
84,80
76,94
91,59
81,120
78,78
95,95
74,81
76,97
83,68
81,86
84,88
83,53
84,75
87,104
94,87
72,77
81,72
71,80
90,71
82,81
76,80
91,89
94,84
67,99
84,96
73,87
85,77
82,98
66,93
85,81
74,88
75,79
83,83
86,86
71,90
95,76
78,90
96,68
86,68
76,87
64,82
100,78
75,72
89,82
84,87
74,67
65,78
83,63
77,101
65,87
76,89
82,82
77,81
88,80
92,83
83,95
80,74
86,86
93,99
78,85
84,80
79,82
97,74
91,88
83,65
79,78
89,81
75,75
78,90
72,64
73,79
81,92
74,78
81,74
78,71
85,90
79,81
84,81
80,81
81,87
75,69
70,77
84,86
89,94
87,85
71,95
84,84
77,83
89,70
93,80
70,67
74,93
76,82
77,63
75,93
82,64
87,75
68,82
90,80
89,76
91,80
76,86
77,81
69,83
88,78
84,86
91,89
64,73
78,83
70,79
96,70
80,104
94,78
83,79
83,77
92,76
75,89
75,82
77,80
69,69
81,83
68,81
91,76
89,84
74,94
70,79
87,87
81,87
72,94
75,75
107,81
87,72
80,84
75,76
77,96
96,90
86,93
84,85
78,88
75,74
81,73
76,72
81,96
65,75
88,83
80,73
85,78
78,71
82,75
97,85
85,71
75,73
83,98
83,103
85,88
88,68
61,85
73,86
91,89
91,68
77,81
93,85
86,78
68,75
72,69
85,82
94,71
67,81
82,89
63,86
92,86
77,79
80,63
86,79
73,76
73,80
93,74
70,88
84,81
82,72
77,77
93,75
80,74
94,73
84,90
78,71
85,76
81,80
85,85
83,62
71,81
86,79
89,91
71,104
81,84
89,84
79,76
88,75
74,80
67,85
73,72
92,78
72,85
64,84
84,74
84,69
83,70
94,86
82,76
76,116
69,99
92,66
68,74
76,76
90,96
79,91
75,99
97,102
91,91
71,102
89,85
88,69
79,85
70,75
90,90
85,94
90,68
75,96
59,90
75,73
83,82
75,73
82,95
90,84
85,74
84,79
71,75
100,86
77,91
76,73
80,86
86,72
94,81
78,75
72,69
69,91
91,80
86,89
66,78
80,93
72,86
81,82
71,78
79,90
66,70
82,71
82,98
75,95
93,74
66,79
85,83
74,87
96,65
94,64
87,69
88,88
81,84
86,84
70,79
81,101
83,64
85,65
85,76
100,67
70,66
77,85
74,78
83,87
69,86
68,74
78,65
70,67
93,77
75,74
69,89
69,81
86,86
70,82
70,95
94,85
88,74
71,89
76,79
87,89
87,89
74,73
84,77
92,91
72,78
76,77
77,68
68,79
72,74
65,68
92,79
79,91
80,77
69,95
82,87
78,67
77,90
76,79
82,77
90,99
81,69
77,80
93,76
91,77
83,66
85,79
107,87
75,81
81,82
69,82
77,66
101,67
78,90
82,85
73,87
76,81
83,81
90,75
95,89
79,76
92,80
75,78
80,100
79,82
79,82
90,80
82,83
98,88
75,78
70,78
82,78
88,82
74,82
64,94
86,79
85,78
83,88
67,86
101,73
81,74
79,99
82,82
84,82
65,79
70,87
94,74
78,81
76,67
81,87
69,88
80,88
71,86
88,87
69,84
73,61
89,85
77,83
72,73
93,82
86,81
87,81
77,76
64,84
98,80
83,74
72,62
92,85
95,74
80,85
69,91
84,82
61,80
83,73
91,90
74,72
64,80
84,76
78,77
85,90
76,65
69,73
96,59
77,89
79,80
85,71
81,85
75,70
65,88
81,80
64,80
68,74
82,75
76,83
83,89
87,87
76,87
80,93
73,78
83,70
80,75
86,89
78,89
91,77
74,79
77,85
75,65
82,74
70,76
68,65
81,66
85,72
75,81
74,75
72,75
88,72
95,76
96,66
77,64
82,68
85,72
78,76
85,80
78,88
71,97
75,76
79,95
74,76
77,71
81,84
90,82
73,83
76,84
83,76
75,93
75,93
85,86
87,80
75,88
73,90
76,65
81,78
79,70
77,76
82,93
69,75
73,77
80,87
78,81
88,104
59,94
76,106
81,65
79,83
73,78
84,76
80,76
81,80
79,88
86,75
70,73
61,83
79,80
90,69
75,66
80,86
76,83
90,73
96,75
81,62
78,66
69,83
76,71
101,95
82,79
75,93
73,107
82,77
85,76
69,76
84,79
72,68
81,82
84,82
76,79
96,74
78,83
90,67
85,75
84,76
80,70
92,90
77,83
81,54
75,75
78,80
83,83
98,94
81,73
80,71
87,70
88,90
94,88
73,93
84,70
83,81
87,82
71,85
73,69
76,90
79,94
92,83
92,80
75,101
72,77
65,91
89,87
100,83
85,65
83,86
88,80
76,71
79,87
82,103
68,84
71,86
91,88
86,74
77,88
72,59
92,86
88,67
74,72
79,64
71,98
97,79
88,64
75,67
86,90
82,79
80,82
86,66
70,73
70,86
76,90
82,84
100,83
73,75
88,62
59,79
73,92
86,63
99,81
81,81
73,62
76,79
95,89
75,84
75,62
117,80
87,80
76,83
87,70
77,76
71,79
78,67
80,87
68,89
88,108
92,77
75,74
79,90
74,85
79,92
69,70
76,73
77,66
80,82
80,87
91,85
73,86
80,69
81,75
84,69
71,87
79,87
77,80
77,99
95,74
80,71
88,76
88,62
73,78
89,75
81,82
72,105
104,86
64,77
89,110
83,87
67,75
76,61
67,78
100,71
74,94
70,77
82,80
82,66
83,76
82,92
83,67
71,85
99,93
79,81
76,98
95,77
85,91
61,70
78,85
80,93
93,89
85,89
67,82
68,80
83,91
84,89
90,77
67,65
74,74
80,97
91,100
60,84
67,86
75,86
74,90
76,77
74,96
67,85
73,79
71,79
91,78
71,67
67,84
79,82
78,68
75,79
89,67
82,88
98,73
71,86
78,96
73,88
99,68
81,79
88,85
76,75
79,84
82,71
91,85
77,73
83,79
72,87
75,78
79,95
75,84
73,89
101,84
89,86
71,78
77,71
75,90
71,73
78,69
102,77
76,61
100,69
67,89
65,89
77,84
76,90
84,68
84,86
69,70
83,96
97,83
68,91
76,78
82,72
88,70
89,100
85,84
69,82
80,72
93,72
71,78
82,83
97,77
96,81
98,79
68,89
75,62
70,83
104,85
97,69
90,80
80,79
78,82
89,80
82,81
78,82
96,77
90,61
75,83
71,78
72,78
95,75
81,65
87,88
69,67
77,83
78,83
102,91
85,84
75,74
98,82
80,77
88,86
88,103
73,81
63,65
68,68
75,70
82,83
81,71
79,91
57,97
68,88
65,74
83,82
88,59
79,77
89,74
77,87
87,81
81,76
66,82
95,61
82,92
74,86
77,83
86,79
83,73
81,64
87,78
85,80
86,93
67,62
74,77
97,71
86,94
75,73
86,77
63,78
71,72
81,67
76,72
90,81
90,81
88,80
96,68
80,75
87,73
66,74
75,80
74,82
79,87
95,93
82,86
61,85
86,76
62,76
78,77
79,87
69,84
82,91
93,87
82,68
70,59
64,78
82,88
61,74
69,73
83,68
68,82
89,77
82,70
76,75
63,83
69,102
90,74
94,70
74,75
86,67
82,76
94,88
97,79
81,86
91,77
84,91
83,73
100,72
87,88
72,78
72,75
79,75
84,91
79,73
85,89
96,84
82,87
78,83
82,79
71,80
83,73
77,93
94,78
86,78
89,74
72,79
96,79
103,80
83,91
78,79
76,89
85,81
73,78
72,90
70,68
67,75
73,62
69,77
56,82
85,90
70,85
85,70
83,77
68,80
81,73
71,60
83,87
76,90
82,72
79,73
76,80
91,60
83,75
83,75
89,88
68,90
67,79
95,75
82,73
81,82
76,90
77,73
69,87
78,83
87,89
76,76
90,71
81,86
56,93
66,81
80,77
70,56
88,87
87,89
86,72
83,77
79,78
79,78
77,82
105,83
67,75
91,75
78,78
85,74
83,86
83,86
78,88
92,77
76,69
86,90
83,78
84,84
77,88
70,87
82,89
86,97
71,87
71,68
83,81
83,73
84,58
76,81
81,81
65,76
73,88
81,66
90,70
90,87
83,79
74,87
68,76
72,85
64,96
70,84
83,80
72,84
76,87
66,74
82,93
82,58
85,87
91,80
77,63
65,73
78,82
71,76
68,89
86,78
75,79
71,79
70,86
70,68
77,92
77,92
73,78
94,92
73,75
81,96
81,74
62,76
72,83
76,92
92,78
78,91
80,63
71,72
89,78
95,100
74,74
98,70
76,89
79,88
66,71
80,74
74,73
87,70
64,82
81,86
86,84
89,75
70,78
93,69
78,87
78,79
95,84
95,100
89,81
77,79
94,87
75,75
81,92
65,80
87,74
81,70
73,89
67,82
84,90
69,79
72,94
84,90
100,83
79,89
77,87
80,72
79,82
87,91
84,98
66,78
96,88
89,77
65,91
82,86
75,76
67,81
74,90
95,88
80,87
76,84
99,73
64,86
81,86
82,82
72,85
70,84
78,92
83,72
77,88
82,82
73,80
80,64
88,72
80,86
76,88
76,66
76,76
73,93
65,84
73,83
94,72
87,94
88,82
62,81
72,74
95,90
71,73
75,79
93,93
85,81
88,94
80,89
81,75
95,86
75,75
78,79
73,86
82,80
81,73
77,77
77,79
93,88
99,86
83,73
64,85
75,72
85,81
65,70
84,72
79,74
83,77
74,85
101,82
76,88
79,79
75,77
73,60
80,79
103,100
75,93
75,93
87,84
83,88
91,73
79,85
85,97
82,76
74,89
76,90
78,88
73,92
86,80
75,71
79,63
91,76
75,79
89,80
95,72
73,85
86,82
77,73
83,89
79,78
82,65
96,90
91,88
75,92
94,73
98,94
78,83
84,75
76,91
85,74
84,70
64,73
78,78
76,90
70,81
65,92
54,78
82,67
75,61
72,72
87,93
87,71
83,90
84,84
89,93
91,68
88,92
97,97
89,89
80,70
80,59
75,80
82,85
74,68
74,82
79,95
67,95
77,74
77,76
83,67
88,68
86,91
65,80
64,82
63,72
87,65
70,76
70,76
83,82
77,73
83,77
76,87
72,81
71,71
79,78
84,79
69,71
67,86
83,80
74,75
100,78
77,90
70,83
77,81
84,82
75,70
72,71
79,90
81,65
77,76
73,78
69,101
85,79
92,68
81,78
86,87
95,83
79,81
110,77
78,84
89,78
78,85
85,59
88,78
76,88
78,66
84,76
94,65
91,105
86,98
82,66
72,82
94,74
75,75
88,80
67,95
71,86
81,83
87,83
92,78
81,56
79,75
93,82
97,95
69,79
83,85
80,78
95,104
84,67
85,89
86,89
94,75
71,80
70,78
75,78
70,70
83,90
78,99
70,76
75,83
85,66
73,79
84,76
70,79
72,61
74,76
77,81
72,84
87,89
86,74
66,58
75,68
61,63
66,96
79,80
85,99
70,89
68,83
72,82
90,69
97,79
80,98
95,76
74,76
94,79
82,85
79,87
82,77
77,61
73,98
65,78
79,61
94,68
81,78
80,76
86,99
79,81
87,77
76,85
78,77
89,81
81,79
82,82
98,69
80,82
66,79
88,74
80,71
97,64
87,65
76,74
72,80
86,80
68,94
70,75
77,68
76,74
95,89
80,84
81,80
76,66
95,84
67,74
73,85
94,77
80,70
63,94
